question,answer
What is multisystem inammatory syndrome in children (MIS-C) and who is at risk?,"Multisystem inammatory syndrome in children (MIS-C) is a condition where dierent body parts can become inamed, including the heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal organs. We do not yet know what causes MIS-C. However, we know that many children with MIS-C had the virus that causes COVID-19, or had been around someone with COVID-19. MIS-C can be serious, even deadly, but most children who were diagnosed with this condition have gotten better with medical care. Contact your child’s doctor, nurse, or clinic right away if your child is showing symptoms of MIS-C. Seek emergency care right away if your child is showing any of these emergency warning signs of MIS-C or other concerning signs."
Can my child hang out with their friends?,"The key to slowing the spread of COVID-19 is to practice social distancing. While school is out, children should not have in-person playdates with children from other households. If children are playing outside their own homes, it is essential that they remain 6 feet from anyone who is not in their own household. Some children with certain underlying medical conditions are at higher risk for severe illness from COVID-19. Make sure children practice everyday preventive behaviors, such as washing their hands often with soap and water. Remember, if children meet outside of school in groups, it can put everyone at risk."
How can I help my child continue learning?,"Stay in touch with your child’s school. Many schools are oering lessons online (virtual learning). Review assignments from the school, and help your child establish a reasonable pace for completing the work. You may need to assist your child with turning on devices, reading instructions, and typing answers. Create a schedule and routine for learning at home, but remain exible. Consider the needs and adjustment required for your child’s age group. The transition to being at home will be dierent for preschoolers, K-5, middle school students, and high school students. Talk to your child about expectations and how they are adjusting to being at home versus at school. Look for ways to make learning fun."
Will kids have access to school meals?,Check with your school on plans to continue meal services during the school dismissal. Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.
How can I keep my children healthy?,Watch your child for any signs of illness. Watch for signs of stress in your child. Teach and reinforce everyday preventive actions. Help your child stay active. Help your child stay socially connected.
"Limit time with older adults, including relatives, and people with chronic medical conditions","Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID19. If others in your home are at higher risk for severe illness from COVID-19, consider extra precautions to separate your child from those people. If you are unable to stay home with your child during school dismissals and someone at higher risk for severe illness from COVID-19 will be providing care (older adult or someone with a serious underlying medical condition), limit your children’s contact with other people. Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail."
Is my child with an underlying medical condition at higher risk for severe illness from COVID-19?,"It’s not known yet whether all children with underlying medical conditions are at higher risk for severe illness from COVID19. Although most COVID-19 cases in children are not severe, serious illness that needs to be treated at the hospital still happens. Some data on children reported that the majority who needed hospitalization for COVID-19 had at least one underlying medical condition. The most common underlying conditions reported among children with COVID-19 include chronic lung disease (including asthma), heart disease, and conditions that weaken the immune system. This information suggests that children with these underlying medical conditions may be at risk for more severe illness from COVID-19. More data are needed to learn which underlying or complex medical conditions may put children at increased risk. CDC is monitoring new information as it becomes available and will provide updates as needed."
What additional steps should families that have a child with an underlying medical condition take?,"In addition to following the recommendations to prevent getting sick and running essential errands, families should take extra steps recommended for persons with higher risk of severe COVID-19 illness and steps outlined for those with potential COVID-19 exposure or conrmed illness. Identify potential alternative caregivers, if you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers would not be at higher risk of severe illness from COVID-19 themselves. Try to have at least one month of medication and medical supplies on hand. Some health plans allow for a 90-day supply of prescription medications. Consider discussing this option with your child’s healthcare provider. Review any care plans for your child, such as an asthma action plan, and make sure caregivers and backup caregivers are familiar with these plans. If you do not have care plans or an emergency notebook, try to make them. They typically include important information about your child’s medical conditions, how to manage those conditions, how to get in touch with your child’s doctors, allergies, information on medications (names, dosages, and administration instructions), preferences (food and other) or special needs, daily routines and activities, friends, and details about routines that are important to support behavioral and emotional health. Learn if your child’s healthcare providers, including doctors and therapists, have new ways to be contacted or new ways of providing appointments. If they oer telemedicine visits, nd out how those are arranged and any additional information you need. If your child receives any support care services in the home that need to be continued, make plans for what you will do if those direct care providers get sick, or if persons in your household are sick. Discuss with the support care agencies and the providers ways to minimize risk for exposure to the virus that causes COVID-19. If your child or other persons in your household are sick with COVID-19 and are able to recover at home, inform your direct care providers and consider postponing or rescheduling services until the criteria for discontinuing home isolation have been met. Ask service providers if they are experiencing any symptoms of COVID-19, or if they have been in contact with someone who has COVID-19. Tell the service provider to: Wear a mask if they will be close (less than 6 feet) to you or persons in your household. Their mask helps protect you if they are infected but do not have symptoms. Ask them to wash their hands with soap and water or, if unavailable, use hand sanitizer with at least 60% alcohol when they enter your home, before and after helping your child (dressing, bathing/showering, transferring, toileting and/or diapering, feeding), after handling tissues, and after changing linens or doing laundry. Learn more about proper handwashing. Service providers and families should: Routinely clean and disinfect frequently touched objects and surfaces (counters, tabletops, doorknobs, bathroom xtures, toilets, phones, keyboards, tablets, bedside tables), and equipment such as wheelchairs, scooters, walkers, oxygen tanks and tubing, communication boards, and other assistive devices. Refer to CDC’s recommendations for Cleaning and Disinfecting Your Home."
What can I do if my child has diculties adjusting to new routines and following recommendations?,"Helping children understand and follow recommendations, like social distancing and wearing masks, can be challenging if your child has intellectual disabilities, sensory issues, or other special healthcare needs. Keeping children at home can lower stress created by social distancing and mask recommendations. Reach out to others for help in running essential errands.Behavioral techniques can be used to address behavioral challenges and to develop new routines. These include social stories, video modeling, picture schedules, and visual cues. Try rewarding your child in small ways with his or her favorite non-food treat or activities to help switch routines and to follow recommendations. Many of the organizations you turn to for information and support around your child’s complex, chronic medical condition may have information on their websites to help families address issues related to COVID-19. Your child’s therapist(s) and teachers may also have resources to help successfully introduce new routines to your child. While learning at home, continue special education services, accommodations, or services received in school through your child’s 504 plan or Individualized Educational Plan (IEP), as much as possible. Many schools are continuing interventions like speech therapy, small group classes, extended time and more. Learn more about supporting children with distance learning."
How can my family cope with the added stress?,"Supporting children with special healthcare needs can put additional demands and stress on families, especially during emergency situations. You have likely found ways to manage the stress and challenges unique to your family’s situation. It is important to continue your family’s coping methods, including reaching out to other family members, friends, support groups, and organizations that have been helpful in the past. See information on helping children cope and coping with stress (such as visiting parks, trails, or open spaces) and making your family stronger. If you, or someone you care about, are feeling overwhelmed with emotions like sadness, depression, or anxiety, or feel like you want to harm yourself or others: Call 911 Visit the Disaster Distress Helpline , call 1-800-985-5990, or text TalkWithUs to 66746 Visit the National Domestic Violence Hotline or call 1-800-799-7233 and TTY 1-800-787-3224"
What if my child or someone else in the home is sick with symptoms of COVID-19?,"If your child with special healthcare needs becomes sick with symptoms of COVID-19, contact your child’s healthcare provider. If your child has new or worsening emergency warning signs, such as trouble breathing, pain or pressure in the chest, confusion or inability to wake them up, or bluish lips or face, call 911. If you think your child may have COVID-19, notify the operator so that rst responders may be appropriately prepared to protect themselves and others. Notify your child’s healthcare provider if someone else in your house becomes sick with COVID-19, so they can provide any advice specic for your child."
"What if my child’s symptoms of their underlying medical condition or complex, chronic medical condition get worse?","Call your child’s healthcare provider if you have any concerns about your child’s medical conditions. If you need emergency help, call 911. Emergency departments have infection prevention plans to protect you and your child from getting COVID-19 if your child needs care for medical conditions not related to COVID-19. Do not delay getting emergency care for your child’s underlying condition or complex medical condition because you are afraid of getting exposed to COVID-19 when visiting the healthcare setting."
What if my child needs to go to the hospital?,"If your child’s healthcare provider tells you to go to the hospital for any health problem, including COVID-19 Ask the healthcare provider to let the hospital know you are coming and to share important information about caring
for your child.
Visiting policies may have changed due to COVID-19. If your child’s hospital policy does not allow an adult to stay with
a child, ask your child’s healthcare provider for a statement explaining your child’s need for a familiar adult to be
present.
Bring your care plans/emergency notebook with you along with paper and pen to write down questions you have
during your time at the hospital."
How can I prepare for an outbreak in my area?,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community: Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community. Plan ways to care for those who might be at greater risk for serious complications. Make sure they have access to 2 weeks of medications and supplies in case you need to stay home for prolonged periods of time. Get to know your neighbors and nd out if your neighborhood has a website or social media page to stay connected. Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources. Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources"
How can I prepare for COVID-19 at work?,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19."
Should I make my own hand sanitizer if I can’t nd it in the stores?,"CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredients and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to ll in for commercial shortages can refer to the World Health Organization guidance. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available. To be eective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy. Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
Do not use hand sanitizer to disinfect frequently touched surfaces and objects."
What are the symptoms and complications that COVID-19 can cause?,"People with COVID-19 have reported a wide range of symptoms – from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. If you have fever, cough, or other symptoms, you might have COVID-19."
When should I seek emergency care if I have COVID-19?,"Look for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately Trouble breathing Persistent pain or pressure in the chest New confusion Inability to wake or stay awake Bluish lips or face *This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you. Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19."
Is it possible to have the u and COVID-19 at the same time?,Yes. It is possible to test positive for u (as well as other respiratory infections) and COVID-19 at the same time.
Should I be tested for a current infection?,"Maybe; not everyone needs to be tested for COVID-19. If you have symptoms of COVID-19 and want to get tested, call your healthcare provider rst. Most people will have mild illness and can recover at home without medical care and may not need to be tested. CDC has guidance for who should be tested, but decisions about testing are made by state and local health departments and healthcare providers."
How can I get tested for a current infection (viral test) and what does my test mean?,"Decisions about testing are made by state and local health departments or healthcare providers. If you have symptoms of COVID-19 and are not tested, it is important to stay home."
What to do if you are sick.,"COVID-19 testing diers by location. If you have symptoms of COVID-19 and want to get tested, call your healthcare provider rst. You can also visit your state or local health department’s website to look for the latest local information on testing. The U.S. Food and Drug Administration (FDA) has authorized viral tests that let you collect either a nasal swab or a saliva sample at home. However, you will still need to send your sample to a laboratory for analysis.If you test positive for COVID-19, know what protective steps to take if you are sick or caring for someone.If you test negative for COVID-19, you probably were not infected at the time your sample was collected. However, that
does not mean you will not get sick. The test result only means that you did not have COVID-19 at the time of testing. You
might test negative if the sample was collected early in your infection and test positive later during your illness. You could
also be exposed to COVID-19 after the test and get infected then. This means you could still spread the virus. If you
develop symptoms later, you might need another test to determine if you are infected with the virus that causes COVID19.
"
How can I get tested for a past infection (antibody test) and what does my test mean?,"Antibody tests for COVID-19 are available through healthcare providers and laboratories. Check with your healthcare provider to see if they oer antibody tests and whether you should get one. A positive test result shows you might have antibodies from an infection with the virus that causes COVID-19. However, there is a chance a positive result means that you have antibodies from an infection with a virus from the same family of viruses (called coronaviruses), such as the one that causes the common cold. Having antibodies to the virus that causes COVID-19 might provide protection from getting infected with the virus again. If it does, we do not know how much protection the antibodies might provide or how long this protection might last. You should continue to protect yourself and others since you could get infected with the virus again. If you test negative, you might not have ever had COVID-19. Talk with your healthcare provider about your test result and the type of test you took to understand what your result means. Regardless of whether you test positive or negative, the results do not conrm whether or not you are able to spread the virus that causes COVID-19. Until we know more, continue to take steps to protect yourself and others."
Can someone test negative and later test positive on a viral test for COVID-19?,"Yes, it is possible. You may test negative if the sample was collected early in your infection and test positive later during this illness. You could also be exposed to COVID-19 after the test and get infected then. Even if you test negative, you still should take steps to protect yourself and others."
Who is at higher risk for serious illness from COVID-19?,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people with underlying medical conditions are at higher risk for severe illness from COVID-19."
What should people at higher risk of serious illness with COVID-19 do?,"If you are at higher risk for severe illness from COVID-19, you should: Limit your interactions with other people as much as possible. Take precautions to prevent getting COVID-19 when you do interact with others. If you decide to engage in public activities, continue to protect yourself by practicing everyday preventive actions.Keep these items on hand and use them when venturing out: a mask, tissues, and a hand sanitizer with at least 60%
alcohol, if possible.
If possible, avoid others who are not wearing masks or ask others around you to wear masks.
Delay or cancel a visit if you or your visitors have symptoms of COVID-19 or have been exposed to someone with
COVID-19 in the last 14 days.
Anyone who has had close contact with a person with COVID-19 should stay home and monitor for symptoms.
Continue your medicines and do not change your treatment plan without talking to your healthcare provider.
Have at least a 30-day supply of prescription and non-prescription medicines.
Do not delay getting emergency care for your underlying medical condition because of COVID-19. Emergency
departments have contingency infection prevention plans to protect you from getting COVID-19 if you need care.
"
Are people with disabilities at higher risk?,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19. Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition. People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed."
What is contact tracing?,"Contact tracing has been used for decades by state and local health departments to slow or stop the spread of infectious diseases. Contact tracing slows the spread of COVID-19 by Letting people know they may have been exposed to COVID-19 and should monitor their health for signs and symptoms of COVID-19 Helping people who may have been exposed to COVID-19 get tested Asking people to self-isolate if they have COVID-19 or self-quarantine if they are a close contact of someone with COVID-19 During contact tracing, the health department sta will not ask you for Money Social Security number Bank account information Salary information Credit card numbers"
What will happen with my personal information during contact tracing,"Discussions with health department sta are condential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider.
If you have been diagnosed with COVID-19, your name will not be shared with those you came in contact with. The health
department will only notify people you were in close contact with (within 6 feet for more than 15 minutes) that they might
have been exposed to COVID-19. Each state and jurisdiction use their own method for collecting and protecting health
information. To learn more, contact your state or local health department.
"
Who is considered a close contact to someone with COVID-19?,"For COVID-19, a close contact is anyone who was within 6 feet of an infected person for at least 15 minutes. An infected person can spread COVID-19 starting 48 hours (or 2 days) before the person had any symptoms or tested positive for COVID-19."
Am I considered a close contact if I was wearing a mask?,"Yes, you are still considered a close contact even if you were wearing a mask while you were around someone with COVID-19. Masks are meant to protect other people in case you are infected, and not to protect you from becoming infected."
"If I am a close contact, will I be tested for COVID-19?","If you have been around someone who is sick with COVID-19, local authorities, the health department, or your doctor may recommend that you get tested for COVID-19. The health department may be able to provide resources for testing in your area. While you are waiting for your COVID-19 test result, stay home away from others (self-quarantine) and monitor your health for symptoms of COVID-19 to protect your friends, family, and others from possibly getting COVID-19. If your test is positive, you should continue to stay home and self-isolate away from others and monitor your health. If you have symptoms of COVID-19 and they worsen or become severe, you should seek emergency medical care. Severe symptoms include trouble breathing, persistent pain or pressure in the chest, confusion, inability to wake or stay awake, or bluish lips or face. Someone from the health department may call you to Check on your health, Discuss who you have been around, and Ask where you have spent time while you may have been able to spread COVID-19 to others. If your test is negative and you don’t have symptoms, you should continue to stay home and self-quarantine away from others for 14 days after your last exposure to COVID-19 and follow all recommendations from the health department. This is important because symptoms can appear up to 14 days after you’ve been exposed and are infected. A negative result before the end of your quarantine period does not rule out possible infection. Additionally, you do not need a repeat test unless you develop symptoms, or if you require a test to return to work. If your test is negative and you have symptoms, you should continue to self-quarantine away from others for 14 days after your last exposure to COVID-19 and follow all recommendations from the health department. Additional medical consultation and a second test may be needed if your symptoms do not improve."
What will happen during contact tracing if I am diagnosed with COVID-19?,"If you are diagnosed with COVID-19, someone from the health department may call you to check on your health, discuss who you have been around, and ask where you spent time while you may have been able to spread COVID-19 to others. You will also be asked to continue to stay at home and self-isolate, away from others. Your name will not be shared with those you came in contact with. The health department sta will not ask you for Money Social Security number
Bank account information
Salary information, or
Credit card numbers
Self-isolation means staying at home in a specic room away from other people and pets, and using a separate
bathroom, if possible.
Self-isolation helps slow the spread of COVID-19 and can help protect the health of your family, friends, neighbors,
and others you may come in contact.
If you need support or assistance while in self-isolation, your health department or community organizations may be
able to provide assistance.
Watch for or monitor your symptoms of COVID-19. If your symptoms worsen or become severe, you should seek medical
care.
"
What will happen during contact tracing if I have been around someone with COVID-19?,"If you were around someone who has been diagnosed with COVID-19, someone from the health department may call you to let you know that you may have been exposed to COVID-19. Stay home away from others for 14 days (self-quarantine) after your last contact with that person. Health department sta will help identify the dates for your self-quarantine. Health department sta can also provide resources for COVID19 testing in your area. Self-quarantine means staying home away from others and monitoring your health. If you need to be around other people or animals in or outside of the home, wear a mask. This will help protect the people around you. If you need support or assistance while in self-quarantine, your health department or community organizations may be able to provide assistance. Monitor your health and watch for symptoms of COVID-19. Remember, symptoms may appear 2-14 days after you were exposed to COVID-19. Tell the health department if you develop any symptoms. Tell people you were around recently if you become ill, so they can monitor their health. If your symptoms worsen or become severe, seek medical care. Severe symptoms include trouble breathing, persistent pain or pressure in the chest, new confusion, inability to wake or stay awake, or bluish lips or face. The health department sta will not ask you for Money Social Security number Bank account information Salary information, or Credit card numbers"
"I was around someone who has COVID-19, and my COVID-19 test came back negative. Do I still need to quarantine for 14 days after I was last exposed?","Yes. You should still self-quarantine for 14 days since your last exposure. It can take up to 14 days after exposure to the virus for a person to develop COVID-19 symptoms. A negative result before end of the 14-day quarantine period does not rule out possible infection. By self-quarantining for 14 days, you lower the chance of possibly exposing others to COVID19."
"I was recently around someone who has COVID-19, but I feel ne. Why should I stay at home?","People with COVID-19 can still spread the virus even if they don’t have any symptoms. If you were around someone who had COVID-19, it is critical that you stay home and away from others for 14 days from the last day that you were around that person. Staying home and away from others at all times helps your health department in the ght against COVID-19
and helps protect you, your family, and your community.
"
What if I have been around someone who was identied as a close contact?,"If you have been around someone who was identied as a close contact to a person with COVID-19, closely monitor yourself for any symptoms of COVID-19. You do not need to self-quarantine unless you develop symptoms or if the person identied as a close contact develops COVID-19."
Will there be a national app for contact tracing?,"No, there will not be a national app for contact tracing. There are many options available now, and it is up to each state and individual to decide which tools best t their needs."
"If I participate in contact tracing for COVID-19 using a digital tool, is my personal health information secure?","Yes, if you agree to participate in contact tracing for COVID-19 with the health department, your information is secure. Discussions with health department sta are condential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider. Your name will not be shared with those you came in contact with. If you have been diagnosed with COVID-19, the health department will only notify people you were in close contact with (within 6 feet for more than 15 minutes) that they might have been exposed to COVID-19. Health departments may use case management tools to help make the contact tracing process more ecient. If you choose to provide information through one of these tools, your information is secure and stored with the health department. These tools also help health departments quickly receive and analyze information about COVID-19. Case management tools are under the same laws and regulations for all sensitive health information use (e.g. HIPPA). You must provide consent for the health department to collect information using a case management tool. Just like traditional contact tracing, digital tools will not collect information regarding money, Social Security numbers, bank account information, salary information, or credit card numbers. Exposure notication tools may be an app that you can download on your personal cell phone. If you choose to download an exposure notication app for COVID-19, your information is secure. Exposure notication apps are developed in collaboration with or endorsed by health departments. These apps undergo rigorous testing to determine their trustworthiness, security, and ability to protect people’s privacy. Until you give consent to share information with your local health department, any information you have entered into the app is stored only on your personal phone. Your information is stored only on your own phone and is not sent to the health department or any other third party. The app and your information can be deleted any time. When you consent to share your information with the local health"
