,Question,Answers
10,is covid a pandemic ,a pandemic is a global outbreak of disease. pandemics happen when a new virus emerges to infect people and can spread between people.
11,should i get a face mask ,"cdc recommends wearing cloth face coverings in public settings where other social distancing measures are difficult to maintain (for example, grocery stores and pharmacies) especially in areas of significant community based transmission., cover your mouth and nose with a cloth face cover when around others., in order to avoid infecting others, you should use a mask for as long as you are still coughing or sneezing. you should only stop after a complete recovery (which means 24 48 hours after having no symptoms without medication). , according to the who, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non sick persons., a cdc recommends wearing cloth face coverings in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community based transmission of the covid. ,  no. surgical masks and n95s need to be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring covid. , the cdc recommends wearing cloth face coverings in public settings where other social distancing measures are diffcult to maintain., cdc recommends that everyone 2 years and older wear a cloth face covering that covers their nose and mouth when they are out in the community., cdc recommends that people wear a cloth face covering to cover their nose and mouth in the community setting., people with no respiratory symptoms, such as cough, do not need to wear a medical mask. who recommends the use of masks for people who have symptoms of covid and for those caring for individuals who have symptoms, such as cough and fever."
12,what can i do to protect myself and prevent the spread of disease ,"the best way to prevent illness is to avoid being exposed to the virus. , stay at least 6 feet away from others, and wash your hands often. , regularly and thoroughly clean your hands with an alcohol based hand rub or wash them with soap and water. maintain at least 3 feet distance between yourself and anyone who is coughing or sneezing."
13,what alternatives do i have if there are no hand sanitizers available ,"if hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative. , handwashing is one of the best ways to protect yourself and your family from getting sick. if soap and water are not readily available, use an alcohol based hand sanitizer with at least 60% alcohol., the efficacy of these disinfection methods against the virus that causes covid is not known., if surfaces are dirty, clean them using detergent or soap and water prior to disinfection. to disinfect, most common epa registered household disinfectants will work. see "
14,are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid ,"in the lab, these drugs have been shown to prevent the growth of the virus that causes covid. there are a few reports of patients with covid who received these drugs and improved. some are reports of groups of patients, all of whom received the drug. it is not known whether it was the drug that led to the improvement or whether there were other factors involved. , chloroquine phosphate is only approved for the treatment of malaria, and hydroxychloroquine sulfate is only approved for the treatment of malaria, lupus, and rheumatoid arthritis. , no. hydroxychloroquine sulfate and some versions of chloroquine phosphate are fda approved to treat malaria. , since acidification is crucial for endosome maturation and function, we surmise that endosome maturation might be blocked at intermediate stages of endocytosis,, compare the antiviral activity of cq versus hcq, the dose response curves,  hcq is a safe and successful anti inflammatory agent"
15,did covid come from bats ,bats
16,how covid test is done ," there are many tests being used to diagnose covid that the u.s. food & drug administration (fda) has authorized for use during the current emergency. all of these diagnostic tests identify the virus in samples from the respiratory system, such as from nasal or nasopharyngeal swabs, all of these diagnostic tests identify the virus in samples from the respiratory system, such as from nasal or nasopharyngeal swabs. , rrt pcr test,  reverse transcription polymerase chain reaction, the 2109 ncov rna was readily detected in the blood (6 of 57 patients) and the anal swabs (11 of 28 patients). "
17,why covid is worse than the flu ,"yes. research indicates a person with the flu infects about 1.28 other people, on average. but with the novel covid, its likely between 2 and 3 other people., the number of americans killed from covid and those who have died from the flu this season are now comparable. but deaths from covid are happening at a much faster rate. "
18,when covid vaccine ,"no. currently, there is not a vaccine for covid., at this time there is no vaccine to prevent covid disease 2019 (covid)., not yet. to date, there is no vaccine and no specific antiviral medicine to prevent or treat covid 2019."
19,is grocery shopping safe during the covid pandemic ,"its best not to make unnecessary trips, but if you need to go to a grocery store, its important to maintain social and physical distancing as you shop, and to clean your hands often while shopping and as soon as you get home., yes. buy as much as you need to lessen the number of trips and try and shop when the store is least likely to be crowded., there are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket. "
20,is covid that bad ,"if you are not in an area where covid is spreading, or if you have not travelled from one of those areas or have not been in close contact with someone who has and is feeling unwell, your chances of getting it are currently low."
21,what are the treatments for covid ,"currently, there are no specific treatments recommended for illnesses caused by covid. medical care is supportive to help relieve symptoms., people with covid should receive supportive care to help relieve symptoms. people with mild symptoms are able to recover at home. , at this time, there are no fda approved drug products to treat covid. "
22,who covid symptoms ,"people who are infected with covid have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2 14 days after exposure., cough, shortness of breath or difficulty breathing, fever, chills, muscle pain, headache, sore throat, fever and cough , patients with underlying medical conditions and the elderly, the most common symptoms of covid are fever, tiredness, and dry cough. some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. these symptoms are usually mild and begin gradually. some people become infected but dont develop any symptoms and dont feel unwell."
23,what animal species can get covid ,"we currently dont fully understand how covid affects different animal species. we are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes covid after close contact with people with covid., cdc is aware of a small number of pets, including dogs and cats, reported to be infected with the virus that causes covid, mostly after close contact with people with covid. , uding birds, farm animals, pets, camels, an"
24,how can my family cope with the added stress ,"it is important to continue your familys coping methods, including reaching out to other family members, friends, support groups, and organizations that have been helpful in the past. "
25,what kind of masks are recommended to protect healthcare workers from covid exposure ,n95 mask
26,will covid go away in the summer ,it is not yet known whether weather and temperature affect the spread of covid.
27,are covid tests available ,"to be tested for covid, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals., at this time, the fda has not authorized any covid test to be completely used and processed at home. , yes, there are tests for covid. , contact your state, local, tribal, or territorial department for more information, or reach out to a medical provider. "
28,what steps should parents take to protect children ,"discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of covid in the community. encourage frequent handwashing and follow other prevention tips., discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of covid in the community., you can encourage your child to help stop the spread of covid by teaching them to do the same things everyone should do to stay healthy."
29,how long is someone contagious after getting covid ,"it varies. decisions about when a person can be released from isolation are made on a case by case basis. , how long someone is actively sick can vary so the decision on when to release someone from isolation is made using a test based or non test based strategy (i.e. time since illness started and time since recovery) in consultation with state and local public health officials."
30,should i be tested for covid ,not everyone needs to be tested for covid.
31,can covid be transmitted by mosquitoes ,"no. , at this time, cdc has no data to suggest that this new covid or other similar covides are spread by mosquitoes or ticks. "
32,has covid been in humans for years ,"6 covs were known to infect human, including 2 αcov (hcov 229e and hku nl63) and 4 βcov (hcov oc43 [ "
33,should covid death be cremated ,people should consider not touching the body of someone who has died of covid.
34,when covid started ,"30 jan 20, 15 jan 20, 19 dec"
35,does covid go away ,absolutely. the vast majority of people with covid survive.
36,should i cancel my trip ,"at this time, social and physical distancing are important to follow, so overall, travel is discouraged., people who are immunocompromised are at higher risk from this illness, as well as other illnesses like the flu. avoiding contact with ill people is crucial."
37,can humans get covid from dogs or cats ,"despite the very few reports worldwide, including here in the united states, of sick and healthy domestic animals, including pets, testing positive for covid, the official name for the virus that causes covid, there is little evidence at this time that such animals are easily infected with the virus under normal conditions, or could transmit it., although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes covid, can spread to people from the skin, fur, or hair of pets., currently, there is no evidence that animals play a significant role in spreading the virus that causes covid. based on the limited information available to date, the risk of animals spreading covid to people is considered to be low. , there is currently no evidence that animals are a source of covid infection in the united states. , there is no reason to think that any animals, including shelter pets, play a significant role in spreading the virus that causes covid. , at this time, there is no evidence that animals play a significant role in spreading the virus that causes covid. , although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes covid, can spread to people from the skin, fur, or hair of pets. "
38,how long is the incubation period for covid ,"distribution is gamma distributed with mean 5.1 days and coefficient of variation, between 2 and 14 days, most estimates of the incubation period for covid range from 1 14 days, most commonly around five days."
39,can disinfectant sprays or wipes be used on my skin injected inhaled or ingested to prevent or treat covid ,"a no. always follow the instructions on household cleaners. disinfectant sprays or wipes are intended for use on hard, non porous surfaces. disinfectant sprays or wipes are not intended for use on humans or animals. do not use disinfectant sprays or wipes on your skin because they may cause skin and eye irritation. do not inject, inhale, or ingest disinfectant sprays or household cleaners; doing so is dangerous and may cause serious harm or death. if ingested, call poison control or a medical professional immediately. , no. those products work on surfaces but can be dangerous to your body. , thats a bad idea, said dr. colleen kraft, an infectious diseases professor at emory university school of medicine. it could definitely kill you."
40,what steps can my family take to reduce our risk of getting covid ,"practice everyday preventive actions to help reduce your risk of getting sick and remind everyone in your home to do the same., create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of covid in your community ."
41,when was covid first identified ,"19 dec, 2003, 4 weeks, 19 dec, s first identified in wuhan, china, wuhan city, china, wuhan, capital of hubei province, china"
42,how much similarity the covid genome sequence has with sars cov ,"∼80% identity with sars cov, there are no remarkable differences between the orfs and nsps"
43,can covid live in water ,there is no evidence that covid can be spread to humans through the use of pools and hot tubs.
44,can covid cause a stroke ,"yes, some young adults have subered strokes after getting covid. "
45,who covid immunity ,"not necessarily. antibodies are a bodys response to bacteria or viruses. but this novel covid is so new, its still not clear whether having antibodies to it means you have long term protection from getting reinfected. "
46,is covid airborne ,"studies to date suggest that the virus that causes covid is mainly transmitted through contact with respiratory droplets rather than through the air., covid cannot travel very far in the air, the world health organization says. , studies to date suggest that the virus that causes covid is mainly transmitted through contact with respiratory droplets rather than through the air."
47,why covid testing ,"antibody tests cannot be used alone to rule out covid. however, they can serve an important role. using antibody tests on many patients may help the medical community better understand the immune response in patients over time and how many people may have been infected."
48,can i make my own hand sanitizer ,"there are no studies supporting the effectiveness of homemade hand sanitizer blend in killing the new covid on peoples hands., the fda does not recommend that consumers make their own hand sanitizer. , the cdc advises using hand sanitizer that contains at least 60% alcohol. , cdc does not encourage the production and use of homemade hand sanitizer products."
49,can someone spread the virus without being sick ,"some spread might be possible before people show symptoms. , since the virus is transmitted through respiratory droplets, the risk of catching it from somebody who is asymptomatic, even a contact of a confirmed covid case, is low. , when you speak, sometimes youll spit a little bit. youll rub your nose. youll touch your mouth. youll rub your eyes. and then youll touch other surfaces, and then you will be spreading virus if you are infected and shedding asymptomatically., the risk of catching covid from someone with no symptoms at all is very low. "
50,can i go outdoors ,"yes, go outdoors for fresh air and exercise. ride a bike, walk the dog, go for a hike, jog. social distancing does not mean staying indoors, it means avoiding close contact with people., walk dogs on a leash, maintaining at least 6 feet (2 meters) from other people and animals, do not gather in groups, and stay out of crowded places and avoid mass gatherings. "
51,what should health care providers laboratories and health departments do ,"health care providers and laboratories should report suspect covid cases immediately (within 3 hours) to their local health department., covid patients should be admitted"
52,when should we identify ourselves as being sick and stay at home ,"although a fever is a sure sign that you are sick enough not to come to work, anyone experiencing respiratory symptoms like coughing and sneezing should stay at home. "
53,does covid present a risk to the safety of the nations blood supply ,"in general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion transmitted covid. "
54,why is convalescent plasma being investigated to treat covid ,convalescent plasma is being investigated for the treatment of covid because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from covid.
55,are antibiotics effective in preventing or treating covid ,"no. antibiotics do not work against viruses; they only work on bacterial infections. antibiotics do not prevent or treat covid disease (covid), because covid is caused by a virus, not bacteria., no, antibiotics are not effective against covid because the disease is a viral infection, not a bacterial infection. , no. antibiotics do not work against viruses, they only work on bacterial infections. covid is caused by a virus, so antibiotics do not work."
56,should i get my pet tested for covid ,"routine testing of pets for covid is not recommended at this time., no. at this time, routine testing of animals for covid is not recommended. "
57,should i stop wearing contacts and switch to glasses ,"there is no evidence to suggest contact lens wearers are more at risk for acquiring covid than eyeglass wearers., people who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional."
58,are some blood types able to fight this covid better than other blood types ,"with this respiratory virus, (as) with other covides, no, said dr. maria van kerkhove, technical lead for the world health organizations covid response. "
59,why are medical workers getting sick with or dying from covid if theyre wearing protective gear ,"many health care workers dont actually have enough protective gear to handle the growing influx of covid patients. ,  substantial exposure risk for icu staff because of the following reasons"
60,can i have the flu and covid at the same time ,"yes. testing positive for either the flu or covid doesnt exempt you from having the other at the same time. , although the likelihood of coinfection of covid and another respiratory virus is thought to be low, a positive finding of another respiratory pathogen does not exclude the diagnosis of covid"
61,what can i do if my loved one suspects they have covid ,"dont visit family members with suspected illness   keep up with them virtually. , most people who get covid will be able to recover at home., if your child has new or worsening emergency warning signs, such as trouble breathing, pain or pressure in the chest, confusion or inability to wake them up, or bluish lips or face, call 911. "
62,what do i do if i think im sick ,stay home. call your doctor to talk about your symptoms and let them know youre coming for an appointment so they can prepare for your visit.
63,what is a novel covid ,"a novel covid is a new covid that has not been previously identifed. the virus causing covid disease 2019 (covid), is not the same as the covides that commonly circulate among humans and cause mild illness, like the common cold., covids are spherical, enveloped, and the largest of positive strand rna v"
64,while schools out how can i help my child continue learning ,"stay in touch with your childs school., talk to the school or facility about their emergency operations plan."
65,my family member died from covid while overseas what are the requirements for returning the body to the united states ,"cdc does not require an autopsy before the remains of a person who died overseas are returned to the united states. depending on the circumstances surrounding the death, some countries may require an autopsy. , when a us citizen dies outside the united states, the deceased persons next of kin or legal representative should notify us consular officials at the department of state. "
66,can wild animals spread the virus that causes covid to people or pets ,"currently, there is no evidence to suggest the virus that causes covid is circulating in free living wildlife in the united states, or that wildlife might be a source of infection for people in the united states. , other covides have been found in north american bats in the past, but there is currently no evidence that the virus that causes covid is present in any free living wildlife in the united states, including bats. "
67,what is the molecular structure of bovine covid ,"single stranded, linear, and nonsegmented rna, 31 kb"
68,what could be the implication of covid virus in anal swabs ,"digestive tract might be one extrapulmonary site for virus replication, in the anal swab cohort (figure 1 (b)), 11 of 28 cases were detected to be anal swab positive, 8 of them (72.7%) were with severe symptoms, which was significantly higher than that 4 (23.5%) of the rest 17 cases without detectable virus in anal were severe cases"
69,what illness is caused by the covid covid ,"the novel covid (covid) infection caused pneumonia. , covid disease 2019 (covid  19)"
70,when did the chinese authorities share the sequence of a novel covid ,"12 jan 20, 2 weeks"
71,if novel covid antibodies may or may not offer long term immunity how would a vaccine help ,"in some cases, a vaccine might give stronger protection than antibodies produced after being infected, epidemiologist. "
72,if traveling on a plane how do i stay safe ,its not the cabin air you need to worry about. its keeping your hands clean.
73,will schools be dismissed if there is an outbreak in my community ,read or watch local media sources that report school dismissals or and watch for communication from your childs school.
74,why covid lockdown ,"we really should be, said dr. anthony fauci, a member of the white house covid task force. "
75,whats the difference between the new covid and other covids ,"the new covid is different from these, and was only identified in december 2019."
76,is it safe for me to donate blood during the covid pandemic ,"if you are healthy and interested in donating blood, the fda encourages you to contact a local donation center to make an appointment., blood donors must be healthy and feel well on the day of donation. routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood. "
77,can 3d printing be used to make ppe ,"while it is possible to use 3d printing to make certain ppe, there are technical challenges. 3d printed ppe may provide a physical barrier, but 3d printed ppe are unlikely to provide the same fluid barrier and air filtration protection as fda cleared surgical masks and n95 respirators"
78,why cant we just test everyone in the us ,"doctors say its not realistic to test all 328 million people in the us, especially since many states are still struggling to get enough tests or testing supplies. "
79,does this pandemic have anything to do with the 5g network ,no. thats just a hoax going around the internet.
80,will a pneumonia or flu vaccine help protect against covid ,some cases of covid do lead to pneumonia. but the pneumonia vaccine wont help
81,should i avoid public transportation ,"if you rely on public transportation, use caution. if youre sick or live in an area where an outbreak has been reported, avoid it. "
82,how long does it take to recover ,it takes anything up to six weeks to recover from this disease.
83,should i go to work ,"if you can, you should stay home from work when youre sick, whether or not you have covid. , stay home if you can. talk to your employer to discuss working from home, taking leave if you or someone in your household gets sick with covid symptoms, or if your childs school is dismissed temporarily. "
84,why might someone blame or avoid individuals and groups (create stigma) because of covid ,"people in the u.s. may be worried or anxious about friends and relatives who are living in or visiting areas where covid is spreading. some people are worried about getting the disease from these people. fear and anxiety can lead to social stigma, for example, toward people who live in certain parts of the world, people who have traveled internationally, people who were in quarantine, or healthcare professionals. "
85,why are we seeing a rise in cases ,the number of cases of covid being reported in the united states is rising due to increased laboratory testing and reporting across the country. the growing number of cases in part re$ects the rapid spread of covid as many u.s. states and territories experience community spread.
86,what is cdc doing about covid ,cdc is working with other federal partners in a whole of government response.
87,what is the genus of the sars covid ,betacovid
88,why might we underestimate the spread of covid ,"limited information available regarding incubation time, transmissibility, and virus origin"
89,what platform was instrumental in rapid sharing of covid information ,"global initiative on sharing all influenza data (gisaid), global initiative on sharing all influenza data (gisaid) (https//www.gisaid.org/)"
90,what was the covid reservoir ,"the seafood market, bats"
91,should i stop going to the gym,"as the new covid is spreading, be cautious about all possible exposures, including at the gym or fitness center. the virus isnt spread through perspiration (sweat), but items touched by many people (barbells, etc.) could pose a risk."
92,what does the governors stay at home order mean,"a stay at home order directs illinoisans to stop movements outside of their homes beyond essential needs. by limiting social interactions, the chance of spreading covid is greatly reduced."
93,what is social distancing,social distancing is deliberately increasing the physical space between people to avoid spreading illness.
94,where can i buy hand sanitizer,many retail stores and pharmacies sell hand sanitizers.
95,where can i report websites selling fraudulent medical products,"you can report websites selling fraudulent medical products to the fda through our website, by phone, or mail."
96,what is a biological medical product or a biologic,"biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues. "
97,why arent blood centers testing donors for covid,"someone who has symptoms of covid, including fever, cough, and shortness of breath, is not healthy enough to donate blood. standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. "
98,what is convalescent plasma,"convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel covid disease, covid, caused by the virus covid. "
99,can covid be transmitted through human cells tissues or cellular and tissue based products (hct,"respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue based products (hct/ps). "
100,can i donate convalescent plasma,covid convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. individuals must have had a prior diagnosis of covid  19 documented by a laboratory test and meet other laboratory criteria.
101,will miracle mineral solution (mms) cure covid,no. miracle mineral solution does not cure covid and has not been approved by the fda for any use.
102,should i take ivermectin to prevent or treat covid,"no. while there are approved uses for ivermectin in people and animals, it is not approved for the prevention or treatment of covid. "
103,what is the fda doing to protect people from fraudulent covid products,we have established a cross agency task force dedicated to closely monitoring for fraudulent covid products.
104,are there going to be drug shortages due to drug manufacturer facility closures in china,"the fda has been closely monitoring the supply chain with the expectation that the covid outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the u.s."
105,am i at risk for covid from taking fda approved drugs made in china,"currently, there is no evidence to support transmission of covid associated with imported goods, including food and drugs for humans and pets. "
106,who should i contact with drug related questions,"if you have additional questions, call fdas division of drug information at (855) 543 3784 or email us at druginfo@fda.hhs.gov (mailtodruginfo@fda.hhs.gov). "
107,is there a shortage of personal protective equipment or of ventilators,the agency is also aware of challenges throughout the supply chain that are presently impacting the availability of ppe products and is taking steps to mitigate shortages that health care facilities are already experiencing.
108,who should i contact if i have questions about medical devices or need more information,please contact the fdas center for devices and radiological health (cdrh)s division of industry and consumer education (dice) for general questions and information.
109,should food workers who are ill stay home,"cdc recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4° f [37.8° c] or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever reducing or other symptom altering medicines (e.g. cough suppressants). "
110,should food facilities perform any special cleaning or sanitation procedures for covid,"cdc recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs. "
111,is there a test for covid in pets,"certain veterinary diagnostic laboratories have developed diagnostic tests for sars  cov 2, the virus that causes covid, for use in pets if needed. "
112,are there any approved products that can prevent or treat covid in animals,"no. under the federal food, drug, and cosmetic (fd&c) act, articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals are drugs. the fda has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of covid in animals. "
113,is it true that animals get their own different types of covid,"yes. covides are a large family of viruses. some covides like covid cause cold like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. some covides, such as canine and feline covides, only infect animals and do not infect humans. "
114,if my pet previously had a species specific covid does that make them more or less likely to get covid,there are no data to suggest that current or previous infection with another strain of covid would make your pet more or less likely to get covid.
115,if my pet has been vaccinated for species specific covid does that make them more or less likely to get covid,species specific covid vaccines are unlikely to work against this type of covid because it is a new virus that is different from the species specific strains of covid targeted by the vaccine.
116,are there going to be any animal drug shortages due to the covid outbreak,the fda has been and is continuing to closely monitor how the covid outbreak may impact the animal medical product supply chain.
117,what do i do if i get a rash or other reaction to hand sanitizer,call your doctor if you experience a serious reaction to hand sanitizer. fda encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the fdas medwatch adverse event reporting program.
118,can you safely reuse a non cloth mask that you cant wash,"yes you can, said dr. joseph vinetz, an infectious diseases professor at yale school of medicine. "
119,why is a cure taking so long,"an antiviral drug must be able to target the specific part of a viruss life cycle that is necessary for it to reproduce, according to harvard medical school."
120,how many people with covid dont have symptoms,recent studies suggest 25% to 50% of covid carriers dont have symptoms.
121,if theres no cure why go to the hospital unless you have a breathing problem,"most covid patients dont need to be hospitalized. the vast majority of people   about 80%   will do well without any specific intervention, said dr. anthony fauci, director of the national institute of allergy and infectious diseases. "
122,is the water supply at risk,"no, the water supply is not at risk. "
123,if people can spread the virus without showing any symptoms how can i tell whos infected and whos not,"you cant, said dr. james phillips, chief of disaster and operational medicine at george washington university hospital. "
124,what exactly does older adults mean,the average age of death for people from covid is 80. average age of people who need medical attention is age 60.
125,how do i stay healthy while using uber or lyft,both rideshare companies said theyre actively trying to protect customers and drivers from covid.
126,is it safe for me to vote at a polling location,states have received guidance from the cdc on how to keep voting locations clean. its up to you whether you feel comfortable going.
127,can i be fired if i stay home sick,an employee can be fired if they dont show up to work and they dont have sick leave that would cover the absence.
128,what happens when workers dont get paid sick leave,"the family and medical leave act (fmla) can sometimes protect a workers job in the event they get sick, but it wont guarantee they get paid while theyre out. "
